0,1,2,3
1  期末発行済株式数(自己株式を含む),2022年3月期1Q,"52,656,910 株  2021年3月期","52,656,910 株"
2  期末自己株式数,2022年3月期1Q,"35,106株2021年3月期","34,758株"
3  期中平均株式数(四半期累計),2022年3月期1Q,"52,622,008株2021年3月期1Q","52,624,477 株"
