0,1,2,3
1  期末発行済株式数(自己株式を含む),2023年3月期1Q,"52,656,910株  2022年3月期","52,656,910株"
2  期末自己株式数,2023年3月期1Q,"897,770株  2022年3月期","36,389株"
3  期中平均株式数(四半期累計),2023年3月期1Q,"52,454,601株  2022年3月期1Q","52,622,008株"
