0,1,2,3
1  期末発行済株式数(自己株式を含む) 2023年3月期2Q,"52,656,910株",2022年3月期,"52,656,910株.1"
2  期末自己株式数 2023年3月期2Q,"2,146,013株",2022年3月期,"36,389株"
3  期中平均株式数(四半期累計) 2023年3月期2Q,"51,765,934株",2022年3月期2Q,"52,621,725株"
(注)当社は、当第2四半期連結会計期間より業績連動型株式報酬制度「株式給付信託(BBT)」を導入しており,,,
