0,1,2,3
1  期末発行済株式数(自己株式を含む),2019年3月期,"52,656,910株 2018年3月期","52,656,910株"
2  期末自己株式数,2019年3月期,"30,528株 2018年3月期","26,784 株"
3  期中平均株式数,2019年3月期,"52,627,960株 2018年3月期","52,631,870株"
