0,1,2,3
1  期末発行済株式数(自己株式を含む),2021年3月期,"52,656,910 株 2020年3月期","52,656,910 株"
2  期末自己株式数,2021年3月期,"34,758株 2020年3月期","32,290 株"
3  期中平均株式数,2021年3月期,"52,623,578株 2020年3月期","52,625,542株"
