0,1,2,3,4
1  期末発行済株式数(自己株式を含む),2020年3月期1Q,"52,656,910株2019年3月期",Unnamed: 0,"52,656,910株"
2  期末自己株式数,2020年3月期1Q,"30,816 株  2019年3月期",,"30,528株"
3  期中平均株式数(四半期累計),2020年3月期1Q,"52,626,189 株  2019年3月期1Q",,"52,629,824株"
