0,1,2,3,4
1  期末発行済株式数(自己株式を含む),2022年3月期3Q,"52,656,910株",2021年3月期,"52,656,910株.1"
2  期末自己株式数,2022年3月期3Q,"36,084株",2021年3月期,"34,758株"
3  期中平均株式数(四半期累計),2022年3月期3Q,"52,621,509株",2021年3月期3Q,"52,623,897株"
