time,vol1,vol2
2022_Q1,52656910,897770
2021_Q1,52656910,35106
2020_Q1,52656910,32663
2019_Q1,52656910,30816
2018_Q1,52656910,27640
2017_Q1,52656910,24053
2016_Q1,52656910,18747
2015_Q1,Bug,Bug
2014_Q1,49550631,9480
2013_Q1,Không có file,Không có file
2022_Q2,52656910,2146013
2021_Q2,52656910,35715
2020_Q2,52656910,33269
2019_Q2,52656910,31270
2018_Q2,52656910,29352
2017_Q2,52656910,25113
2016_Q2,52656910,19538
2015_Q2,Bug,Bug
2014_Q2,49550631,11130
2013_Q2,Không có file,Không có file
2022_Q3,50639610,128999
2021_Q3,52656910,36084
2020_Q3,52656910,33980
2019_Q3,52656910,31937
2018_Q3,52656910,30366
2017_Q3,52656910,26274
2016_Q3,52656910,21372
2015_Q3,Bug,Bug
2014_Q3,49550631,12251
2013_Q3,Không có file,Không có file
2022_Q4,50578837,128003
2021_Q4,52656910,36389
2020_Q4,52656910,34758
2019_Q4,52656910,32290
2018_Q4,52656910,30528
2017_Q4,52656910,26784
2016_Q4,52656910,23097
2015_Q4,52656910,17463
2014_Q4,52656910,13635
2013_Q4,Không có file,Không có file
