0,1,2,3,4
1 期末発行済株式数(自己株式を含む),24年3月期2Q,"366,557,889 株",23年3月期,"366,557,889 株.1"
2 期末自己株式数,24年3月期2Q,"14,124,550 株",23年3月期,"14,115,670 株"
3 期中平均株式数(四半期累計),24年3月期2Q,"352,436,727 株",23年3月期2Q,"352,467,810 株"
