0,1,2,3
1  期末発行済株式数(自己株式を含む),2020年3月期3Q,"428,904,352 株 2019年3月期","428,904,352株"
2  期末自己株式数,2020年3月期3Q,"1,336,858株  2019年3月期","1,334,441 株"
3  期中平均株式数(四半期累計),2020年3月期3Q,"427,568,792株  2019年3月期3Q","427,571,189株"
