0,1,2,3
1  期末発行済株式数(自己株式を含む),2021年3月期3Q,"428,904,352 株 2020年3月期","428,904,352株"
2  期末自己株式数,2021年3月期3Q,"1,339,917株  2020年3月期","1,337,583 株"
3  期中平均株式数(四半期累計),2021年3月期3Q,"427,565,831株  2020年3月期3Q","427,568,792株"
