0,1,2,3,4
1 期末発行済株式数(自己株式を含む),26年3月期2Q,"428,904,352 株",25年3月期,"366,557,889 株"
2 期末自己株式数,26年3月期2Q,"1,211,600 株",25年3月期,"1,137,966 株"
3 期中平均株式数(四半期累計),26年3月期2Q,"396,557,199 株",25年3月期2Q,"352,426,414 株"
