Symbol,Year,Quarter,check
3928.0,2023.0,Q1,OK
3928.0,2022.0,Q1,OK
3928.0,2022.0,Q2,OK
3928.0,2022.0,Q3,OK
3928.0,2022.0,Q4,OK
3928.0,2021.0,Q1,OK
3928.0,2021.0,Q2,OK
3928.0,2021.0,Q3,OK
3928.0,2020.0,Q1,OK
3928.0,2020.0,Q2,OK
3928.0,2019.0,Q1,OK
3928.0,2019.0,Q2,OK
3928.0,2019.0,Q3,OK
3928.0,2018.0,Q1,OK
3928.0,2018.0,Q2,OK
3928.0,2018.0,Q3,OK
3928.0,2017.0,Q1,OK
3928.0,2017.0,Q2,OK
3928.0,2017.0,Q3,OK
3928.0,2017.0,Q4,OK
3928.0,2016.0,Q1,OK
3928.0,2016.0,Q2,OK
3928.0,2016.0,Q4,OK
3928.0,2015.0,Q4,OK
3929.0,2021.0,Q4,OK
3929.0,2020.0,Q4,OK
3929.0,2019.0,Q4,OK
3929.0,2018.0,Q4,OK
3929.0,2017.0,Q4,OK
3929.0,2016.0,Q4,OK
3929.0,2015.0,Q4,OK
3930.0,2022.0,Q2,OK
3930.0,2021.0,Q2,OK
3930.0,2021.0,Q4,OK
3930.0,2020.0,Q3,OK
3930.0,2020.0,Q4,OK
3930.0,2019.0,Q1,OK
3930.0,2019.0,Q2,OK
3930.0,2019.0,Q3,OK
3930.0,2019.0,Q4,OK
3930.0,2018.0,Q1,OK
3930.0,2018.0,Q3,OK
3930.0,2018.0,Q4,OK
3930.0,2017.0,Q2,OK
3930.0,2017.0,Q3,OK
3930.0,2017.0,Q4,OK
3930.0,2016.0,Q2,OK
3930.0,2016.0,Q4,OK
3930.0,2015.0,Q3,OK
3930.0,2015.0,Q4,OK
3931.0,2023.0,Q1,OK
3931.0,2022.0,Q1,OK
3931.0,2022.0,Q4,OK
3931.0,2021.0,Q3,OK
3931.0,2021.0,Q4,OK
3931.0,2020.0,Q3,OK
3931.0,2020.0,Q4,OK
3931.0,2019.0,Q3,OK
3931.0,2019.0,Q4,OK
3931.0,2018.0,Q1,OK
3931.0,2018.0,Q2,OK
3931.0,2018.0,Q3,OK
3931.0,2018.0,Q4,OK
3931.0,2017.0,Q1,OK
3931.0,2017.0,Q3,OK
3931.0,2017.0,Q4,OK
3931.0,2016.0,Q1,OK
3931.0,2016.0,Q2,OK
3931.0,2016.0,Q3,OK
3931.0,2016.0,Q4,OK
3931.0,2015.0,Q4,OK
3932.0,2022.0,Q3,OK
3932.0,2022.0,Q4,OK
3932.0,2021.0,Q3,OK
3932.0,2021.0,Q4,OK
3932.0,2020.0,Q3,OK
3932.0,2020.0,Q4,OK
3932.0,2019.0,Q2,OK
3932.0,2019.0,Q3,OK
3932.0,2019.0,Q4,OK
3932.0,2018.0,Q2,OK
3932.0,2018.0,Q3,OK
3932.0,2018.0,Q4,OK
3932.0,2017.0,Q2,OK
3932.0,2017.0,Q3,OK
3932.0,2017.0,Q4,OK
3932.0,2016.0,Q2,OK
3932.0,2016.0,Q3,OK
3932.0,2016.0,Q4,OK
3932.0,2015.0,Q4,OK
3933.0,2022.0,Q1,OK
3933.0,2022.0,Q2,OK
3933.0,2022.0,Q3,OK
3933.0,2022.0,Q4,OK
3933.0,2021.0,Q1,OK
3933.0,2021.0,Q2,OK
3933.0,2021.0,Q3,OK
3933.0,2021.0,Q4,OK
3933.0,2020.0,Q1,OK
3933.0,2020.0,Q2,OK
3933.0,2020.0,Q3,OK
3933.0,2020.0,Q4,OK
3933.0,2019.0,Q1,OK
3933.0,2019.0,Q2,OK
3933.0,2019.0,Q3,OK
3933.0,2019.0,Q4,OK
3933.0,2018.0,Q1,OK
3933.0,2018.0,Q2,OK
3933.0,2018.0,Q3,OK
3933.0,2018.0,Q4,OK
3933.0,2017.0,Q1,OK
3933.0,2017.0,Q2,OK
3933.0,2017.0,Q3,OK
3933.0,2017.0,Q4,OK
3933.0,2016.0,Q1,OK
3933.0,2016.0,Q2,OK
3933.0,2016.0,Q3,OK
3933.0,2016.0,Q4,OK
3933.0,2015.0,Q4,OK
6269.0,2011.0,Q4,OK
6269.0,2010.0,Q4,OK
6269.0,2009.0,Q4,OK
6269.0,2008.0,Q4,OK
6319.0,2022.0,Q3,OK
6319.0,2022.0,Q4,OK
6319.0,2021.0,Q3,OK
