Unnamed: 0,Name,Symbol,Exchange,Sector,Industry,href
,Nakano Corp,1827,Tokyo,Industrials,Construction & Engineering,/equities/nakano-corp
,Tanabe Engineering,1828,Tokyo,Industrials,Construction & Engineering,/equities/tanabe-engineering-corp
,Okumura Corp,1833,Tokyo,Industrials,Construction & Engineering,/equities/okumura-corp
,Totetsu Kogyo,1835,Tokyo,Industrials,Construction & Engineering,/equities/totetsu-kogyo
,Tsuchiya,1840,Tokyo,Real Estate,Real Estate Operations,/equities/tsuchiya-holdings-co-ltd
,Sanyu Construction,1841,Tokyo,Industrials,Construction & Engineering,/equities/sanyu-construction-co-ltd
,Ohmori,1844,Tokyo,Industrials,Construction & Engineering,/equities/ohmori-co-ltd
,Ichiken,1847,Tokyo,Industrials,Construction & Engineering,/equities/ichiken
,Fuji PS,1848,Tokyo,Industrials,Construction & Engineering,/equities/fuji-ps-corp
,Nankai Tatsumura Construction,1850,Tokyo,Industrials,Construction & Engineering,/equities/nankai-tatsumura-construction-co-lt
,Asanuma Corp,1852,Tokyo,Industrials,Construction & Engineering,/equities/asanuma-corp
,Mori-Gumi,1853,Tokyo,Industrials,Construction & Engineering,/equities/mori-gumi-co-ltd
,Toda Corp,1860,Tokyo,Industrials,Construction & Engineering,/equities/toda-corp
,Kumagai Gumi,1861,Tokyo,Industrials,Construction & Engineering,/equities/kumagai-gumi
,Kitano Construction Corp,1866,Tokyo,Industrials,Construction & Engineering,/equities/kitano-construction-corp
,Ueki Corp,1867,Tokyo,Industrials,Construction & Engineering,/equities/ueki-corp
,Yahagi Construction,1870,Tokyo,Industrials,Construction & Engineering,/equities/yahagi-construction
,P.S. Mitsubishi Construction,1871,Tokyo,Industrials,Construction & Engineering,/equities/p.s.-mitsubishi-construction
,Higashi Nihon House,1873,Tokyo,Real Estate,Real Estate Operations,/equities/higashi-nihon-house
,Daito Trust Construction,1878,Tokyo,Real Estate,Real Estate Operations,/equities/daito-trust-construction
,Shinnihon Corp,1879,Tokyo,Industrials,Construction & Engineering,/equities/shinnihon-corp
,Toa Road Corp,1882,Tokyo,Industrials,Construction & Engineering,/equities/toa-road-corp
,Nippon Road,1884,Tokyo,Industrials,Construction & Engineering,/equities/nippon-road
,Toa Corp,1885,Tokyo,Industrials,Construction & Engineering,/equities/toa-corp
,JDC Corporation,1887,Tokyo,Industrials,Construction & Engineering,/equities/jdc-corporation
,Wakachiku Construction,1888,Tokyo,Industrials,Construction & Engineering,/equities/wakachiku-construction
,Toyo Construction,1890,Tokyo,Industrials,Construction & Engineering,/equities/toyo-construction
,Penta-Ocean Const Co Ltd,1893,Tokyo,Industrials,Construction & Engineering,/equities/penta-ocean-const-co-ltd
,Kaneshita Construction,1897,Tokyo,Industrials,Construction & Engineering,/equities/kaneshita-construction-co-ltd
,Seikitokyu Kogyo,1898,Tokyo,Industrials,Construction & Engineering,/equities/seikitokyu-kogyo
,Fukuda Corp,1899,Tokyo,Industrials,Construction & Engineering,/equities/fukuda-corp
,Taisei Oncho,1904,Tokyo,Industrials,Construction & Engineering,/equities/taisei-oncho-co-ltd
,Tenox,1905,Tokyo,Industrials,Construction & Engineering,/equities/tenox-corp
,Nippon Dry Chemical,1909,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,/equities/nippon-dry-chemical
,Sumitomo Forestry,1911,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,/equities/sumitomo-forestry
,Japan Foundation Engineering,1914,Tokyo,Industrials,Construction & Engineering,/equities/japan-foundation-engineering
,Tomoe Corp,1921,Tokyo,Industrials,Construction & Engineering,/equities/tomoe-corp
,Daiwa House Industry,1925,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,"/equities/daiwa-house-industry-co.,-ltd."
,Raito Kogyo,1926,Tokyo,Industrials,Construction & Engineering,/equities/raito-kogyo
,Sekisui House,1928,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,"/equities/sekisui-house,-ltd."
,Nittoc Construction,1929,Tokyo,Industrials,Construction & Engineering,/equities/nittoc-construction
,Hokuriku Electrical Construct,1930,Tokyo,Industrials,Construction & Engineering,/equities/hokuriku-electrical-construct
,Yurtec Corp,1934,Tokyo,Industrials,Construction & Engineering,/equities/yurtec-corp
,Nippon Rietec,1938,Tokyo,Industrials,Construction & Engineering,/equities/nippon-rietec-co-ltd
,Yondenko Corp,1939,Tokyo,Industrials,Construction & Engineering,/equities/yondenko-corp
,Chudenko Corp,1941,Tokyo,Industrials,Construction & Engineering,/equities/chudenko-corp
,Kandenko Co Ltd,1942,Tokyo,Industrials,Construction & Engineering,/equities/kandenko-co-ltd
,Kinden Corp,1944,Tokyo,Industrials,Construction & Engineering,/equities/kinden-corp
,Tokyo Energy Systems Inc,1945,Tokyo,Industrials,Construction & Engineering,/equities/tokyo-energy-systems-inc
,Toenec Corp,1946,Tokyo,Industrials,Construction & Engineering,/equities/toenec-corp
,Kodensha,1948,Tokyo,Industrials,Construction & Engineering,/equities/kodensha-co-ltd
,Sumitomo Densetsu,1949,Tokyo,Industrials,Construction & Engineering,/equities/sumitomo-densetsu
,Nippon Densetsu Kogyo,1950,Tokyo,Industrials,Construction & Engineering,/equities/nippon-densetsu-kogyo
,Kyowa Exeo Corp,1951,Tokyo,Industrials,Construction & Engineering,/equities/kyowa-exeo-corp
,Shin Nippon Air Technologies,1952,Tokyo,Industrials,Construction & Engineering,/equities/shin-nippon-air-technologies
,Kyudenko Corp,1959,Tokyo,Industrials,Construction & Engineering,/equities/kyudenko-corp
,Sanyo Engineering & Construction,1960,Tokyo,Industrials,Construction & Engineering,/equities/sanyo-engineering-construction-in
,Sanki Engineering,1961,Tokyo,Industrials,Construction & Engineering,/equities/sanki-engineering
,JGC Corp.,1963,Tokyo,Industrials,Construction & Engineering,/equities/jgc-corp.
,Chugai Ro Co Ltd,1964,Tokyo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",/equities/chugai-ro-co-ltd
,Techno Ryowa,1965,Tokyo,Industrials,Construction & Engineering,/equities/techno-ryowa-ltd
,Takada,1966,Tokyo,Industrials,Construction & Engineering,/equities/takada-corp
,Yamato Corp,1967,Tokyo,Industrials,Construction & Engineering,/equities/yamato-corp
,Taihei Dengyo Kaisha,1968,Tokyo,Industrials,Construction & Engineering,/equities/taihei-dengyo-kaisha
,Takasago Thermal Eng,1969,Tokyo,Industrials,Construction & Engineering,/equities/takasago-thermal-eng
,Chuo Build Industry,1971,Tokyo,Consumer Cyclicals,Homebuilding & Construction Supplies,/equities/chuo-build-industry-co-ltd
,Sanko Metal Industrial,1972,Tokyo,Basic Materials,Metals & Mining,/equities/sanko-metal-industrial
,NEC Networks System,1973,Tokyo,Technology,Software & IT Services,/equities/nec-networks-system
,Asahi Kogyosha,1975,Tokyo,Industrials,Construction & Engineering,/equities/asahi-kogyosha
,Meisei Industrial,1976,Tokyo,Industrials,Construction & Engineering,/equities/meisei-industrial
,Taikisha Ltd,1979,Tokyo,Industrials,Construction & Engineering,/equities/taikisha-ltd
,Dai-Dan,1980,Tokyo,Industrials,Construction & Engineering,/equities/dai-dan-co-ltd
,Kyowanissei,1981,Tokyo,Industrials,Construction & Engineering,/equities/kyowanissei-co-ltd
,Hibiya Engineering,1982,Tokyo,Industrials,Construction & Engineering,/equities/hibiya-engineering
,Kanda Tsushinki,1992,Tokyo,Technology,Software & IT Services,/equities/kanda-tsushinki-co-ltd
,Takahashi Curtain Wall,1994,Tokyo,Industrials,Construction & Engineering,/equities/takahashi-curtain-wall-corp
,Akatsuki Eazima,1997,Tokyo,Industrials,Construction & Engineering,/equities/akatsuki-eazima-co-ltd
,Nippn,2001,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nippon-flour-mills
,Nisshin Seifun Group Inc.,2002,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nisshin-seifun-group-inc.
,Nitto Fuji Flour Milling,2003,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nitto-fuji-flour-milling
,Showa Sangyo Co Ltd,2004,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/showa-sangyo-co-ltd
,Torigoe Co Ltd,2009,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/torigoe-co-ltd
,Chubushiryo Co Ltd,2053,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/chubushiryo-co-ltd
,Nichiwa Sangyo,2055,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nichiwa-sangyo-co-ltd
,Feed One Holdings,2060,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/feed-one-holdings
,Toyo Sugar Refining,2107,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/toyo-sugar-refining
,Nippon Beet Sugar,2108,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nippon-beet-sugar
,Mitsui Sugar Co Ltd,2109,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/mitsui-sugar-co-ltd
,Ensuiko Sugar Refining,2112,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/ensuiko-sugar-refining
,Fuji Nihon Seito,2114,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/fuji-nihon-seito-corp
,Wellneo Sugar,2117,Tokyo,Consumer Non-Cyclicals,Food & Tobacco,/equities/nissin-sugar-co-ltd
,LIFULL,2120,Tokyo,Technology,Software & IT Services,/equities/next-co-ltd
,Mixi,2121,Tokyo,Technology,Software & IT Services,/equities/mixi
,Interspace,2122,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/interspace
,Jac Recruitment,2124,Tokyo,Industrials,Professional & Commercial Services,/equities/jac-recruitment-co-ltd
,Nihon M&A Center,2127,Tokyo,Industrials,Professional & Commercial Services,/equities/nihon-m-a-center
,Members Co,2130,Tokyo,Technology,Software & IT Services,/equities/members-co-ltd
,Sun Capital Management,2134,Tokyo,Financials,Investment Banking & Investment Services,/equities/sun-capital-management-corp
,HIP,2136,Tokyo,Industrials,Professional & Commercial Services,/equities/hip-corp
,Crooz,2138,Tokyo,Consumer Cyclicals,Diversified Retail,/equities/crooz-inc
,Chuco,2139,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/chuco-co-ltd
,UT Group,2146,Tokyo,Industrials,Professional & Commercial Services,/equities/ut-group-co-ltd
,ITmedia,2148,Tokyo,Technology,Software & IT Services,/equities/itmedia
,CareNet,2150,Tokyo,Technology,Software & IT Services,/equities/carenet
,Youji,2152,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/youji-corp
,E J,2153,Tokyo,Industrials,Construction & Engineering,/equities/e-j-holdings-inc
,Open Up,2154,Tokyo,Industrials,Professional & Commercial Services,/equities/trust-tech-inc
,Saylor Advertising,2156,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/saylor-advertising-inc
,Koshidaka,2157,Tokyo,Consumer Cyclicals,Hotels & Entertainment Services,/equities/koshidaka-holdings-co-ltd
,FRONTEO,2158,Tokyo,Technology,Software & IT Services,/equities/fronteo
,GNI,2160,Tokyo,Healthcare,Biotechnology & Medical Research,/equities/gni
,nms Holdings,2162,Tokyo,Technology,Electronic Equipment & Parts,/equities/nippon-manufacturing-service-corp
,Artner,2163,Tokyo,Industrials,Professional & Commercial Services,/equities/artner-co-ltd
,Chiikishinbunsha,2164,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/chiikishinbunsha-co-ltd
,Pasona Group Inc,2168,Tokyo,Industrials,Professional & Commercial Services,/equities/pasona-group-inc
,CDS Co Ltd,2169,Tokyo,Technology,Software & IT Services,/equities/cds-co-ltd
,Link and Motivation,2170,Tokyo,Industrials,Professional & Commercial Services,/equities/link-and-motivation
,Hakuten,2173,Tokyo,Industrials,Professional & Commercial Services,/equities/hakuten-corp
,SMS Co Ltd,2175,Tokyo,Industrials,Professional & Commercial Services,/equities/sms-co-ltd
,Seigakusya,2179,Tokyo,Academic & Educational Services,Miscellaneous Educational Service Providers,/equities/seigakusya-co-ltd
,Sunny Side Up,2180,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/sunny-side-up-inc
,Persol Holdings,2181,Tokyo,Industrials,Professional & Commercial Services,/equities/temp-holdings
,Linical Co Ltd,2183,Tokyo,Healthcare,Biotechnology & Medical Research,/equities/linical-co-ltd
,CMC,2185,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/cmc-corp-jp
,Sobal,2186,Tokyo,Technology,Software & IT Services,/equities/sobal-corp
,Cookpad Inc,2193,Tokyo,Technology,Software & IT Services,/equities/cookpad-inc
,Amita,2195,Tokyo,Industrials,Professional & Commercial Services,/equities/amita-holdings-co-ltd
