Unnamed: 0,Name,Symbol,Exchange,Sector,Industry,href
,Sohgo Security Services,2331,Tokyo,Industrials,Professional & Commercial Services,/equities/sohgo-security-services
,Quest,2332,Tokyo,Technology,Software & IT Services,/equities/quest-co-ltd
,eole Inc,2334,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/eole-inc
,Cube System Inc,2335,Tokyo,Technology,Software & IT Services,/equities/cube-system-inc
,Ichigo,2337,Tokyo,Real Estate,Real Estate Operations,/equities/ichigo-inc
,Quantum Solutions,2338,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/fasteps-co-ltd
,Gokurakuyu,2340,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/gokurakuyu-co-ltd
,Arbeit-Times,2341,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/arbeit-times-co-ltd
,Trans Genic,2342,Tokyo,Consumer Cyclicals,Diversified Retail,/equities/trans-genic
,Heian Ceremony Service,2344,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/heian-ceremony-service-co-ltd
,Kushim,2345,Tokyo,Technology,Software & IT Services,/equities/istudy-co-ltd
,Nippon Information Development,2349,Tokyo,Technology,Software & IT Services,/equities/nippon-information-development-co-l
,ASJ,2351,Tokyo,Technology,Software & IT Services,/equities/asj
,Nippon Parking Development,2353,Tokyo,Industrials,Transport Infrastructure,/equities/nippon-parking-development
,YEDIGITALCorporation,2354,Tokyo,Technology,Software & IT Services,/equities/yaskawa-information-systems-corp
,Core Corp,2359,Tokyo,Technology,Software & IT Services,/equities/core-corp
,Medinet,2370,Tokyo,Healthcare,Biotechnology & Medical Research,/equities/medinet
,KakakuCom Inc,2371,Tokyo,Technology,Software & IT Services,/equities/kakakucom-inc
,I’rom Holdings,2372,Tokyo,Healthcare,Healthcare Providers & Services,/equities/irom-holdings
,Care Twentyone,2373,Tokyo,Healthcare,Healthcare Providers & Services,/equities/care-twentyone-corp
,Saint-Care,2374,Tokyo,Healthcare,Healthcare Providers & Services,/equities/saint-care-holding-corp
,GiG Works,2375,Tokyo,Industrials,Professional & Commercial Services,/equities/threepro-group-inc
,SCiNEX,2376,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/scinex-corp
,Renaissance Inc,2378,Tokyo,Consumer Cyclicals,Hotels & Entertainment Services,/equities/renaissance-inc
,Dip Corp,2379,Tokyo,Industrials,Professional & Commercial Services,/equities/dip-corp
,SBS Holdings Inc,2384,Tokyo,Industrials,Freight & Logistics Services,/equities/sbs-holdings-inc
,Soiken,2385,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/soiken
,Wedge,2388,Tokyo,Financials,Banking Services,/equities/wedge-holdings-co-ltd
,Digital Holdings,2389,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/opt-holding-inc
,Planet,2391,Tokyo,Technology,Software & IT Services,/equities/planet-inc
,Nippon Care Supply,2393,Tokyo,Healthcare,Healthcare Equipment & Supplies,/equities/nippon-care-supply-co-ltd
,Shin Nippon Biomed Lab,2395,Tokyo,Healthcare,Biotechnology & Medical Research,/equities/shin-nippon-biomed-lab
,DNA Chip Research,2397,Tokyo,Healthcare,Biotechnology & Medical Research,/equities/dna-chip-research-inc
,Amana,2402,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/amana
,Tetsujin,2404,Tokyo,Consumer Cyclicals,Hotels & Entertainment Services,/equities/tetsujin-inc
,KG Intelligence,2408,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/kg-intelligence-co-ltd
,Career Design Center,2410,Tokyo,Industrials,Professional & Commercial Services,/equities/career-design-center
,Gendai Agency,2411,Tokyo,Consumer Cyclicals,Media & Publishing,/equities/gendai-agency-inc
,Benefit One,2412,Tokyo,Industrials,Professional & Commercial Services,/equities/benefit-one-inc
,M3 Inc,2413,Tokyo,Technology,Software & IT Services,/equities/m3-inc
,Human,2415,Tokyo,Industrials,Professional & Commercial Services,/equities/human-holdings-co-ltd
,Tsukada Global Holdings,2418,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/tsukada-global-holdings
,Brass,2424,Tokyo,Consumer Non-Cyclicals,Personal & Household Products & Services,/equities/brass-corp
,Care Service,2425,Tokyo,Healthcare,Healthcare Providers & Services,/equities/care-service-co-ltd
,Outsourcing Inc,2427,Tokyo,Industrials,Professional & Commercial Services,/equities/outsourcing-inc
