time,vol1,vol2
2022_Q1,428904352,1350484
2021_Q1,428904352,1344702
2020_Q1,428904352,1337944
2019_Q1,428904352,1335000
2018_Q1,428904352,1332651
2017_Q1,428904352,1329338
2016_Q1,428904352,1325138
2015_Q1,428904352,1320727
2014_Q1,428904352,1278759
2013_Q1,366557889,1146326
2012_Q1,366557889,14130388
2011_Q1,366557889,14120873
2010_Q1,366557889,14087625
2009_Q1,366557889,14067616
2008_Q1,366557889,14020680
2022_Q2,428904352,1351266
2021_Q2,428904352,1347184
2020_Q2,428904352,1338806
2019_Q2,428904352,1335666
2018_Q2,428904352,1333471
2017_Q2,428904352,1330116
2016_Q2,428904352,1325451
2015_Q2,428904352,1322058
2014_Q2,428904352,1298020
2013_Q2,428904352,1211600
2012_Q2,366557889,14134560
2011_Q2,366557889,14124550
2010_Q2,366557889,14094863
2009_Q2,366557889,14073104
2008_Q2,366557889,14046200
2022_Q3,Không có file,Không có file
2021_Q3,428904352,1349157
2020_Q3,428904352,1339917
2019_Q3,428904352,1336858
2018_Q3,428904352,1334043
2017_Q3,428904352,1331489
2016_Q3,428904352,1326767
2015_Q3,428904352,1323580
2014_Q3,428904352,1315148
2013_Q3,428904352,1255527
2012_Q3,366557889,1130785
2011_Q3,366557889,14125360
2010_Q3,366557889,14113368
2009_Q3,366557889,14084501
2008_Q3,366557889,14051491
2022_Q4,Không có file,Không có file
2021_Q4,428904352,1349888
2020_Q4,428904352,1340710
2019_Q4,428904352,1337583
2018_Q4,428904352,1334441
2017_Q4,428904352,1332135
2016_Q4,,
2015_Q4,428904352,1324420
2014_Q4,428904352,1322108
2013_Q4,428904352,1272690
2012_Q4,366557889,1137966
2011_Q4,366557889,14128047
2010_Q4,366557889,14115670
2009_Q4,366557889,14085629
2008_Q4,366557889,14059816
