0,1,2,3
1  期末発行済株式数(自己株式を含む),2020年3月期,"52,656,910株 2019年3月期","52,656,910 株"
2  期末自己株式数,2020年3月期,"32,290 株 2019年3月期","30,528株"
3  期中平均株式数,2020年3月期,"52,625,542株 2019年3月期","52,627,960 株"
