0,1,2,3,4
1  期末発行済株式数(自己株式を含む),28年3月期,"52,656,910 株",27年3月期,"52,656,910 株.1"
2  期末自己株式数,28年3月期,"17,463 株",27年3月期,"13,635株"
3  期中平均株式数,28年3月期,"52,641,000 株",27年3月期,"49,615,157 株"
