Time_Q1,Link_Q1,Time_Q2,Link_Q2,Time_Q3,Link_Q3,Time_Q4,Link_Q4
['決算短信 (2022/7/27)'],['Done'],['決算短信 (2022/10/26)'],['Done'],[],[''],[],['']
['決算短信 (2021/7/28)'],['Done'],['決算短信 (2021/10/26)'],['Done'],['決算短信 (2022/1/31)'],['Done'],['決算短信 (2022/4/26)'],['Done']
['決算短信 (2020/7/28)'],['Done'],['決算短信 (2020/10/27)'],['Done'],['決算短信 (2021/1/28)'],['Done'],['決算短信 (2021/4/26)'],['Done']
['決算短信 (2019/7/26)'],['Done'],['決算短信 (2019/10/29)'],['Done'],['決算短信 (2020/1/30)'],['Done'],"['決算短信 (2020/5/27)', '決算短信 (2020/5/27)']","['Done', 'Done']"
['決算短信 (2018/7/26)'],['Done'],['決算短信 (2018/10/25)'],['Done'],['決算短信 (2019/1/31)'],['Done'],['決算短信 (2019/4/25)'],['Done']
['決算短信 (2017/7/27)'],['Done'],['決算短信 (2017/10/24)'],['Done'],['決算短信 (2018/1/29)'],['Done'],['決算短信 (2018/4/26)'],['Done']
['決算短信 (2016/7/28)'],['Done'],['決算短信 (2016/10/27)'],['Done'],['決算短信 (2017/1/26)'],['Done'],['決算短信 (2017/4/28)'],['https://www.buffett-code.com/company/5486/library/dfdd1bf0d33d65a0344164/preview']
['決算短信 (2015/7/28)'],['Done'],['決算短信 (2015/10/27)'],['Done'],['決算短信 (2016/1/28)'],['Done'],['決算短信 (2016/4/27)'],['Done']
['決算短信 (2014/7/29)'],['Done'],['決算短信 (2014/10/27)'],['Done'],['決算短信 (2015/2/3)'],['Done'],"['決算短信 (2015/5/12)', '決算短信 (2015/6/23)']","['Done', 'Done']"
['決算短信 (2013/7/26)'],['Done'],"['決算短信 (2013/10/28)', '(訂正)決算短信 (2013/11/14)']","['Done', 'Done']",['決算短信 (2014/1/29)'],['Done'],['決算短信 (2014/4/24)'],['Done']
['決算短信 (2012/7/27)'],['Done'],['決算短信 (2012/10/25)'],['Done'],['決算短信 (2013/1/30)'],['Done'],['決算短信 (2013/4/25)'],['Done']
['決算短信 (2011/7/28)'],['Done'],['決算短信 (2011/10/27)'],['Done'],['決算短信 (2012/1/31)'],['Done'],['決算短信 (2012/4/25)'],['Done']
['決算短信 (2010/7/27)'],['Done'],['決算短信 (2010/10/26)'],['https://www.buffett-code.com/company/5486/library/412c858a49140d3b9f93c3/preview'],['決算短信 (2011/2/2)'],['https://www.buffett-code.com/company/5486/library/cb156cf9c343e35ef2c04a/preview'],['決算短信 (2011/4/26)'],['Done']
['決算短信 (2009/7/27)'],['https://www.buffett-code.com/company/5486/library/b63d5f91b8fda0df0679b7/preview'],['決算短信 (2009/10/27)'],['Done'],['決算短信 (2010/2/2)'],['https://www.buffett-code.com/company/5486/library/3ba20c7683db2053a25920/preview'],['決算短信 (2010/4/27)'],['https://www.buffett-code.com/company/5486/library/7e64ce1428f1ae20a25b34/preview']
['決算短信 (2008/7/30)'],['Done'],"['決算短信 (2008/10/28)', '(訂正)決算短信 (2008/10/28)']","['Done', 'Done']",['決算短信 (2009/2/2)'],['Done'],['決算短信 (2009/4/30)'],['https://www.buffett-code.com/company/5486/library/e82a80f6872bda70b15fb0/preview']
