0,1,2,3
1  期末発行済株式数(自己株式を含む) 2020年3月期,"428,904,352株",2019年3月期,"428,904,352株.1"
2  期末自己株式数 2020年3月期,"1,337,583株",2019年3月期,"1,334,441株"
3  期中平均株式数 2020年3月期,"427,568,334 株",2019年3月期,"427,570,903 株"
