0,1,2,3,4
1  期末発行済株式数(自己株式を含む),2023年3月期2Q,"428,904,352株",2022年3月期,"428,904,352株.1"
2  期末自己株式数,2023年3月期2Q,"1,351,266株",2022年3月期,"1,349,888株"
3  期中平均株式数(四半期累計),2023年3月期2Q,"427,553,702株",2022年3月期2Q,"427,559,498株"
