0,1,2,3,4
① 期末発行済株式数（自己株式を含む）,21年3月期第1四半期 ,"366,557,889株",20年3月期,"366,557,889株"
② 期末自己株式数,21年3月期第1四半期,"14,020,680株",20年3月期,"13,996,744株"
③ 期中平均株式数（四半期連結累計期間）,21年3月期第1四半期 ,"352,547,583株",20年3月期第1四半期 ,"354,158,655株"
