0,1,2,3,4
1期末発行済株式数(自己株式を含む),2018年3月期1Q,"428,904,352株",2017年3月期,"428,904,352 株"
2期末自己株式数,2018年3月期1Q,"1,329,338 株",2017年3月期,"1,327,900株"
3期中平均株式数(四半期累計),2018年3月期1Q,"427,575,573株",2017年3月期1Q,"427,579,601株"
