0,1,2,3,4
1  期末発行済株式数(自己株式を含む),2022年3月期1Q,"428,904,352 株",2021年3月期,"428,904,352株"
2  期末自己株式数,2022年3月期1Q,"1,344,702 株",2021年3月期,"1,340,710株"
3  期中平均株式数(四半期累計),2022年3月期1Q,"427,561,153株",2021年3月期1Q,"427,566,545株"
