0,1,2,3,4
1  期末発行済株式数(自己株式を含む),28年3月期,"428,904,352 株",27年3月期,"428,904,352株"
2  期末自己株式数,28年3月期,"1,324,420 株",27年3月期,"1,303,157 株"
3  期中平均株式数,28年3月期,"427,583,545 株",27年3月期,"427,629,682株"
