0,1,2,3
1  期末発行済株式数(自己株式を含む) 2018年3月期,"428,904,352 株",2017年3月期,"428,904,352株"
2  期末自己株式数 2018年3月期,"1,332,135株",2017年3月期,"1,327,900株"
3  期中平均株式数 2018年3月期,"427,573,950株",2017年3月期,"427,578,446 株"
